Property,N,Mean,SD,Median,Min,Max,Mean_SD
MW,2803,215.49990688547987,98.29492463364534,203.28900000000002,15.999,548.7300000000001,215.50 ± 98.29
LogP,2803,2.569364181234393,1.7561563013320753,2.5120000000000005,-3.2885999999999993,9.2483,2.57 ± 1.76
TPSA,2803,31.627113806635748,21.58778118319538,28.490000000000002,0.0,178.36,31.63 ± 21.59
HBD,2803,0.7905815198002141,0.8897206917871828,1.0,0.0,5.0,0.79 ± 0.89
HBA,2803,2.6821262932572245,1.7859966164845567,2.0,0.0,10.0,2.68 ± 1.79
RotBonds,2803,2.723510524438102,2.4573972187675315,2.0,0.0,15.0,2.72 ± 2.46
Rings,2803,2.450945415626115,1.467225210949627,2.0,0.0,8.0,2.45 ± 1.47
Fsp3,2803,0.2790506076059485,0.2903310145560935,0.1875,0.0,1.0,0.28 ± 0.29
