activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
avg_activity_rate_percent,num_heteroatoms,0.38610413515029207,2.5258042005962097e-100,0.5024167152379501,3.405778046412991e-179,2803,weak,positive,,
avg_activity_rate_percent,formal_charge,0.04663272230150915,0.013543999923855894,0.05938848345754004,0.0016574633777877196,2803,very_weak,positive,,
avg_activity_rate_percent,fraction_csp3,-0.1659455095569216,9.303730942521541e-19,-0.08066596053267078,1.904592917977644e-05,2803,very_weak,negative,,
avg_activity_rate_percent,bertz_complexity,0.41826748437542527,3.875995491237611e-119,0.5764416174541748,5.716313575814877e-248,2803,weak,positive,,
avg_activity_rate_percent,balaban_j,-0.331175905858298,9.954343092600948e-73,-0.44843289428034816,9.388888388247044e-139,2803,weak,negative,,
avg_activity_rate_percent,carbon_count,0.39501206622867463,2.5032860431750993e-105,0.5160702401708996,1.2594340764460922e-190,2803,weak,positive,,
avg_activity_rate_percent,nitrogen_count,0.3624682463469324,8.848395858385699e-88,0.46608672915584565,3.455941081903918e-151,2803,weak,positive,,
avg_activity_rate_percent,oxygen_count,0.022679224141045392,0.23000993397146308,0.023598871987229743,0.21165762733501367,2803,very_weak,positive,,
avg_activity_rate_percent,sulfur_count,0.1394937186704374,1.1866181283522894e-13,0.1648019997052049,1.6147113363131544e-18,2803,very_weak,positive,,
avg_activity_rate_percent,halogen_count,-0.008129407714951721,0.6670404588382224,-0.0452087678718778,0.016681178263653076,2803,very_weak,negative,,
avg_activity_rate_percent,aromatic_carbocycles,0.29224807103909123,2.5656589586169987e-56,0.36294446105396583,5.062372767094288e-88,2803,very_weak,positive,,
avg_activity_rate_percent,aromatic_heterocycles,0.10453133479592758,2.906561020163966e-08,0.14201247297084382,4.2346530808552953e-14,2803,very_weak,positive,,
avg_activity_rate_percent,hydroxyl_groups,-0.042894779107002914,0.02314538759459869,-0.05853232473838665,0.0019340691488503787,2803,very_weak,negative,,
avg_activity_rate_percent,carboxyl_groups,-0.01070695102024957,0.5709686991966979,-0.02842961678818984,0.13237746309053935,2803,very_weak,negative,,
avg_activity_rate_percent,ester_groups,0.016751861089628006,0.37531232439548207,0.011097745660028963,0.5569968549328033,2803,very_weak,positive,,
avg_activity_rate_percent,amide_groups,-0.024705063588934845,0.19101398084815902,-0.03850510399751432,0.041506305827194806,2803,very_weak,negative,,
avg_activity_rate_percent,amine_groups,0.362516680436354,8.360236239849398e-88,0.466278847362405,2.5071897995723027e-151,2803,weak,positive,,
avg_activity_rate_percent,halogen_substituents,-0.008129407714951721,0.6670404588382224,-0.0452087678718778,0.016681178263653076,2803,very_weak,negative,,
avg_activity_rate_percent,lipinski_violations,0.16221552978394282,5.538324464220426e-18,0.21327006720698827,3.407483939356063e-30,2803,very_weak,positive,,
avg_activity_rate_percent,membrane_permeability_score,-0.060726821280160916,0.0012971160420312477,-0.0666405209405498,0.000414736275799342,2803,very_weak,negative,,
avg_activity_rate_percent,flexibility_index,0.2298519286558625,6.311863445726133e-35,0.2992591416357007,4.31294224539726e-59,2803,very_weak,positive,,
avg_activity_rate_percent,heteroatom_ratio,0.005140281194347111,0.7856034135362575,0.04779607149263669,0.011380187789135344,2803,very_weak,positive,,
avg_activity_rate_percent,aromatic_fraction,0.19368102535103104,4.287512147014781e-25,0.17109861876596127,7.386136097698171e-20,2803,very_weak,positive,,
avg_activity_rate_percent,structural_diversity_index,0.34767370441120976,1.8944108310746538e-80,0.4383641076469546,5.528292949038197e-132,2803,weak,positive,,
triple_activity_score,rank,0.04894243407559633,0.009553785469044574,0.04489202712066281,0.0174600908282195,2803,very_weak,positive,,
triple_activity_score,pathogen_count,,,,,2803,very_weak,negative,,
triple_activity_score,total_tp_count,0.013493059939545717,0.47517655192224517,-0.02317716265360013,0.21993745592788566,2803,very_weak,positive,,
triple_activity_score,total_tn_count,-0.016505537159382286,0.3823751239823384,-0.3131984240463286,7.671550931025863e-65,2803,very_weak,negative,,
triple_activity_score,total_fp_count,,,,,2803,very_weak,negative,,
triple_activity_score,total_fn_count,,,,,2803,very_weak,negative,,
triple_activity_score,overall_avg_attribution,0.08055115639644674,1.9574795467518155e-05,0.1216907501035026,1.0205221041586576e-10,2803,very_weak,positive,,
triple_activity_score,overall_max_attribution,-0.015710881442284344,0.40570972356610374,-0.02692214951333604,0.1541653771144114,2803,very_weak,negative,,
