property,pathogen1,pathogen2,mean1,mean2,std1,std2,n1,n2,statistic,p_value,cohens_d,fold_change,effect_size_category,p_corrected,significant,practically_significant
MW,SA,EC,268.20472813036025,256.9092748802011,84.98718543781551,81.9382856300968,2332,537,672275.5,0.007682998854702434,0.13379188705129805,1.043966700911932,negligible,0.012073283914532397,True,False
MW,SA,CA,268.20472813036025,260.5277925445705,84.98718543781551,80.89959332403495,2332,1234,1524358.0,0.0034575491825583164,0.09183414113397421,1.0294668584522566,negligible,0.006005217001285496,True,False
MW,EC,CA,256.9092748802011,260.5277925445705,81.9382856300968,80.89959332403495,537,1234,324960.0,0.5197048325156993,-0.04455440220909798,0.9861108190069574,negligible,0.5197048325156993,False,False
LogP,SA,EC,3.0029978344768455,2.3275997951582883,1.613524787852697,1.6814177877535463,2332,537,767213.5,3.5952184137895454e-16,0.4152633302497205,1.2901693154998009,small,2.3728441531011e-15,True,True
LogP,SA,CA,3.0029978344768455,2.6932107293354957,1.613524787852697,1.4847700966967543,2332,1234,1584527.5,6.322068189117721e-07,0.19729453568710761,1.1150252008753079,negligible,1.8966204567353164e-06,True,False
LogP,EC,CA,2.3275997951582883,2.6932107293354957,1.6814177877535463,1.4847700966967543,537,1234,286632.5,6.2314579531107926e-06,-0.23633615118196452,0.8642471863806158,small,1.4688436603761153e-05,True,False
TPSA,SA,EC,35.08715694682676,42.17070763500931,21.731600193136632,23.467821336977334,2332,537,514863.5,1.271991863283688e-10,-0.3210080859591666,0.832026753036937,small,5.996533069765958e-10,True,True
TPSA,SA,CA,35.08715694682676,38.017998379254465,21.731600193136632,23.833548814910685,2332,1234,1352227.0,0.0030583938586669066,-0.1303695061100671,0.9229091073340937,negligible,0.005607055407555996,True,False
TPSA,EC,CA,42.17070763500931,38.017998379254465,23.467821336977334,23.833548814910685,537,1234,368878.5,0.0001469080300104174,0.17504748362000702,1.109230086611316,negligible,0.00030299781189648586,True,False
HBA,SA,EC,3.1801029159519727,3.6685288640595903,1.6939031630856882,1.7130960330023668,2332,537,526498.0,4.855913096165774e-09,-0.2877311851908753,0.8668605410488373,small,1.780501468594117e-08,True,False
HBA,SA,CA,3.1801029159519727,3.5445705024311183,1.6939031630856882,2.2121922391907254,2332,1234,1347060.5,0.0014434326347476272,-0.19290484852370685,0.8971758112219329,negligible,0.0028019574674512764,True,False
HBA,EC,CA,3.6685288640595903,3.5445705024311183,1.7130960330023668,2.2121922391907254,537,1234,359228.5,0.0042675803562233945,0.05977666766478627,1.034971334762125,negligible,0.007041507587768601,True,False
HBD,SA,EC,1.0514579759862779,1.3333333333333333,1.102593378861122,1.102349368101254,2332,537,525440.0,9.600876650814917e-10,-0.25565818240986066,0.7885934819897085,small,3.960361618461153e-09,True,False
HBD,SA,CA,1.0514579759862779,0.6952998379254457,1.102593378861122,0.8903523360373006,2332,1234,1713462.5,1.457149144742754e-23,0.34441143149083603,1.5122367626655793,small,1.6028640592170293e-22,True,True
HBD,EC,CA,1.3333333333333333,0.6952998379254457,1.102349368101254,0.8903523360373006,537,1234,446076.5,2.5456873514737896e-35,0.664933231280133,1.9176379176379175,medium,8.400768259863505e-34,True,True
NumRotatableBonds,SA,EC,3.9463979416809605,3.9385474860335195,3.027281908587041,2.6692598011933923,2332,537,606560.0,0.2545799037093416,0.0026489263310008706,1.0019932362565842,negligible,0.28003789408027574,False,False
NumRotatableBonds,SA,CA,3.9463979416809605,4.167747163695299,3.027281908587041,2.7098505145345815,2332,1234,1318004.0,3.1839118252569085e-05,-0.07576902261163712,0.9468899591744713,negligible,7.004606015565198e-05,True,False
NumRotatableBonds,EC,CA,3.9385474860335195,4.167747163695299,2.6692598011933923,2.7098505145345815,537,1234,318174.5,0.18064100381325332,-0.08496378361343998,0.9450063382783129,negligible,0.21289832592276284,False,False
NumAromaticRings,SA,EC,1.8306174957118353,1.7150837988826815,1.085787026386536,1.0450735720272142,2332,537,655801.0,0.07394541374897458,0.10714506532587174,1.0673632955453372,negligible,0.09385379437369851,False,False
NumAromaticRings,SA,CA,1.8306174957118353,1.8435980551053484,1.085787026386536,1.2546149762188321,2332,1234,1410755.5,0.32043185745041614,-0.011316871509858014,0.9929591163553428,negligible,0.33851655913850975,False,False
NumAromaticRings,EC,CA,1.7150837988826815,1.8435980551053484,1.0450735720272142,1.2546149762188321,537,1234,309824.0,0.025188964113798205,-0.1075423310695362,0.9302916078335073,negligible,0.03614068764153655,True,False
BertzCT,SA,EC,552.3315021192809,519.2796506907273,271.3329426630334,239.30088480316135,2332,537,661196.0,0.04281727680273177,0.12442435649160008,1.063649425477369,negligible,0.056518805379605935,False,False
BertzCT,SA,CA,552.3315021192809,518.244641797303,271.3329426630334,276.1287949933568,2332,1234,1571488.5,5.7524985912705305e-06,0.12485954159804523,1.0657736859637617,negligible,1.4602496423994424e-05,True,False
BertzCT,EC,CA,519.2796506907273,518.244641797303,239.30088480316135,276.1287949933568,537,1234,344174.0,0.19412647182394438,0.003898191191487625,1.0019971434530126,negligible,0.22090253690310913,False,False
avg_attribution,SA,EC,0.5653440823327616,0.56816052141527,0.19328143537259207,0.19582252627504973,2332,537,609222.5,0.32825848158885795,-0.014535781730730984,0.9950428814105339,negligible,0.33851655913850975,False,False
avg_attribution,SA,CA,0.5653440823327616,0.5670333873581848,0.19328143537259207,0.17717935443221394,2332,1234,1498639.5,0.040906392821389075,-0.008992027813168333,0.9970208014852641,negligible,0.05624629012940997,False,False
avg_attribution,EC,CA,0.56816052141527,0.5670333873581848,0.19582252627504973,0.17717935443221394,537,1234,353803.0,0.023093676440122977,0.006158233539678791,1.0019877737047134,negligible,0.03464051466018447,True,False
activity_rate_percent,SA,EC,98.13847770154374,99.73523277467412,7.621412426082381,2.2237849256035824,2332,537,581495.0,1.4834633028421286e-08,-0.23011006863606917,0.9839900601952989,small,4.895428899379024e-08,True,False
activity_rate_percent,SA,CA,98.13847770154374,98.67370340356564,7.621412426082381,6.259519891692143,2332,1234,1415114.0,0.0889378868693904,-0.07454874893489455,0.994575802026677,negligible,0.10870186172925493,False,False
