feature,pathogen1,pathogen2,comparison,p_value,effect_size,mean_diff,fold_change,mean1,mean2,n1,n2,direction,weighted,interpretation,corrected_p_value
num_saturated_rings,SA,EC,SA_vs_EC,0.0561,0.1746182897832072,0.16503324073785086,1.2767744974874373,0.7613065326633166,0.5962732919254657,398,161,higher,True,more_problematic,0.11605625000000001
num_saturated_rings,SA,CA,SA_vs_CA,0.0,0.5017480583856926,0.4441259159232285,2.4002303182579565,0.7613065326633166,0.31718061674008813,398,227,higher,True,more_problematic,0.0
num_saturated_rings,EC,CA,EC_vs_CA,0.0,0.44606866598540923,0.2790926751853776,1.87991718426501,0.5962732919254657,0.31718061674008813,161,227,higher,True,more_problematic,0.0
num_heteroatoms,SA,EC,SA_vs_EC,0.0278,0.20876574315417717,-0.4363119947563887,0.8761089397605315,3.0854271356783927,3.5217391304347814,398,161,lower,True,less_problematic,0.06987567567567568
num_heteroatoms,SA,CA,SA_vs_CA,0.0,0.48078607544036395,-0.9894627321630174,0.7571804970799947,3.0854271356783927,4.07488986784141,398,227,lower,True,less_problematic,0.0
num_heteroatoms,EC,CA,EC_vs_CA,0.0046,0.29184206435621035,-0.5531507374066287,0.8642538190364274,3.5217391304347814,4.07488986784141,161,227,lower,True,less_problematic,0.015844444444444442
formal_charge,SA,EC,SA_vs_EC,0.0017,0.334033719317415,-0.031055900621118005,0.0,0.0,0.031055900621118005,398,161,lower,True,less_problematic,0.007186363636363636
formal_charge,SA,CA,SA_vs_CA,0.1518,0.14843689568679255,-0.013215859030837005,0.0,0.0,0.013215859030837005,398,227,lower,True,less_problematic,0.2476736842105263
formal_charge,EC,CA,EC_vs_CA,0.2409,0.11223220996211297,0.017840041590281,2.3498964803312625,0.031055900621118005,0.013215859030837005,161,227,higher,True,more_problematic,0.3797237288135593
fraction_csp3,SA,EC,SA_vs_EC,0.7325,0.03195270244337916,0.008729195695144687,1.0250431026471885,0.3572960573226001,0.3485668616274554,398,161,higher,True,more_problematic,0.8398012048192772
fraction_csp3,SA,CA,SA_vs_CA,0.0,0.4900420810144762,0.12602333737144086,1.5449122464510936,0.3572960573226001,0.23127271995115925,398,227,higher,True,more_problematic,0.0
fraction_csp3,EC,CA,EC_vs_CA,0.0,0.5081872846971696,0.11729414167629618,1.5071680814800235,0.3485668616274554,0.23127271995115925,161,227,higher,True,more_problematic,0.0
bertz_complexity,SA,EC,SA_vs_EC,0.9744,0.0030193930854316158,-0.81974259656306,0.9985035822684307,546.9835741306365,547.8033167271996,398,161,lower,True,less_problematic,0.9744
bertz_complexity,SA,CA,SA_vs_CA,0.7453,0.02737092037568109,-7.446120145262739,0.9865697666951486,546.9835741306365,554.4296942758992,398,227,lower,True,less_problematic,0.8398012048192772
bertz_complexity,EC,CA,EC_vs_CA,0.8185,0.02477092688392279,-6.626377548699679,0.9880482996904524,547.8033167271996,554.4296942758992,161,227,lower,True,less_problematic,0.8852103448275862
balaban_j,SA,EC,SA_vs_EC,0.3798,0.08171325847628697,-0.0380507952916751,0.9790570981030635,1.7788318639944833,1.8168826592861584,398,161,lower,True,less_problematic,0.5194323529411765
balaban_j,SA,CA,SA_vs_CA,0.0033,0.23882275956316296,-0.10330922322922986,0.9451107975217639,1.7788318639944833,1.8821410872237132,398,227,lower,True,less_problematic,0.011803846153846154
balaban_j,EC,CA,EC_vs_CA,0.147,0.1479766963889071,-0.06525842793755476,0.9653275578645301,1.8168826592861584,1.8821410872237132,161,227,lower,True,less_problematic,0.24429107142857143
carbon_count,SA,EC,SA_vs_EC,0.3331,0.09035065813524672,0.5222853397421936,1.0341265989036093,15.826633165829147,15.304347826086953,398,161,higher,True,more_problematic,0.47658923076923077
carbon_count,SA,CA,SA_vs_CA,0.0,0.38756432485168407,2.1261926371947872,1.1551915526183976,15.826633165829147,13.70044052863436,398,227,higher,True,more_problematic,0.0
carbon_count,EC,CA,EC_vs_CA,0.0019,0.3221736401450137,1.6039072974525936,1.1170697609394658,15.304347826086953,13.70044052863436,161,227,higher,True,more_problematic,0.0073625
nitrogen_count,SA,EC,SA_vs_EC,0.1456,0.13444544353335636,-0.23622772246324653,0.8985795644891128,2.0929648241206036,2.32919254658385,398,161,lower,True,less_problematic,0.24429107142857143
nitrogen_count,SA,CA,SA_vs_CA,0.0,0.47316166079317074,-0.9026298895357843,0.6986809045226132,2.0929648241206036,2.995594713656388,398,227,lower,True,less_problematic,0.0
nitrogen_count,EC,CA,EC_vs_CA,0.0006,0.3800642204478974,-0.6664021670725377,0.777539276580197,2.32919254658385,2.995594713656388,161,227,lower,True,less_problematic,0.0029368421052631574
oxygen_count,SA,EC,SA_vs_EC,0.3558,0.08871083816577954,0.09496238958769021,1.1528894472361813,0.7160804020100503,0.6211180124223601,398,161,higher,True,more_problematic,0.5013545454545454
oxygen_count,SA,CA,SA_vs_CA,0.3198,0.08343304084684337,0.08171916852987415,1.1288211892797322,0.7160804020100503,0.6343612334801761,398,227,higher,True,more_problematic,0.4647093749999999
oxygen_count,EC,CA,EC_vs_CA,0.9042,0.012183499435940319,-0.013243221057816057,0.9791235334713594,0.6211180124223601,0.6343612334801761,161,227,lower,True,less_problematic,0.9140282608695652
sulfur_count,SA,EC,SA_vs_EC,0.0,0.4170448498475219,-0.21221011891756908,0.5319749432091969,0.24120603015075381,0.4534161490683229,398,161,lower,True,less_problematic,0.0
sulfur_count,SA,CA,SA_vs_CA,0.0019,0.2770115165525423,-0.14645916808713166,0.6222019186843308,0.24120603015075381,0.3876651982378855,398,227,lower,True,less_problematic,0.0073625
sulfur_count,EC,CA,EC_vs_CA,0.2599,0.11933126995638633,0.06575095083043742,1.1696075663466965,0.4534161490683229,0.3876651982378855,161,227,higher,True,more_problematic,0.40284500000000006
halogen_count,SA,EC,SA_vs_EC,0.0109,0.24897885518533178,-0.07913792565311026,0.2921552205471804,0.032663316582914576,0.11180124223602483,398,161,lower,True,less_problematic,0.0327
halogen_count,SA,CA,SA_vs_CA,0.7495,0.02942681313050954,-0.0069842605095964405,0.8238414293690676,0.032663316582914576,0.039647577092511016,398,227,lower,True,less_problematic,0.8398012048192772
halogen_count,EC,CA,EC_vs_CA,0.0584,0.18565935488012023,0.07215366514351382,2.819875776397515,0.11180124223602483,0.039647577092511016,161,227,higher,True,more_problematic,0.11605625000000001
aromatic_carbocycles,SA,EC,SA_vs_EC,0.0599,0.17573195975455352,-0.14675863791004673,0.8818592964824123,1.0954773869346734,1.2422360248447202,398,161,lower,True,less_problematic,0.11605625000000001
aromatic_carbocycles,SA,CA,SA_vs_CA,0.2889,0.09035386922090254,-0.07192349412259524,0.9383900635251732,1.0954773869346734,1.1674008810572687,398,227,lower,True,less_problematic,0.4264714285714286
aromatic_carbocycles,EC,CA,EC_vs_CA,0.369,0.09121595812008977,0.07483514378745149,1.0641040665651,1.2422360248447202,1.1674008810572687,161,227,higher,True,more_problematic,0.5121940298507462
aromatic_heterocycles,SA,EC,SA_vs_EC,0.068,0.17423083572681566,-0.07005524516994902,0.7180276381909552,0.17839195979899503,0.24844720496894404,398,161,lower,True,less_problematic,0.12648
aromatic_heterocycles,SA,CA,SA_vs_CA,0.5747,0.04902984819322845,-0.019845925663560027,0.8998883305415972,0.17839195979899503,0.19823788546255505,398,227,lower,True,less_problematic,0.724268918918919
aromatic_heterocycles,EC,CA,EC_vs_CA,0.2783,0.11334233850197185,0.05020931950638899,1.25327812284334,0.24844720496894404,0.19823788546255505,161,227,higher,True,more_problematic,0.41745
aliphatic_hydroxyl,SA,EC,SA_vs_EC,0.0155,0.2310375963587508,-0.0928867942195449,0.21290663845543514,0.025125628140703522,0.11801242236024843,398,161,lower,True,less_problematic,0.04239705882352941
aliphatic_hydroxyl,SA,CA,SA_vs_CA,0.0586,0.1288507389278184,0.025125628140703522,inf,0.025125628140703522,0.0,398,227,higher,True,more_problematic,0.11605625000000001
aliphatic_hydroxyl,EC,CA,EC_vs_CA,0.0,0.2846580258196935,0.11801242236024843,inf,0.11801242236024843,0.0,161,227,higher,True,more_problematic,0.0
aromatic_hydroxyl,SA,EC,SA_vs_EC,0.8678,0.023023320383196082,-0.002372108992165795,0.8090452261306534,0.010050251256281407,0.012422360248447202,398,161,lower,True,less_problematic,0.8935153846153846
aromatic_hydroxyl,SA,CA,SA_vs_CA,0.8281,0.012713469323285966,0.0012396785690567385,1.1407035175879399,0.010050251256281407,0.008810572687224669,398,227,higher,True,more_problematic,0.8852103448275862
aromatic_hydroxyl,EC,CA,EC_vs_CA,0.7715,0.03576505475057329,0.0036117875612225337,1.4099378881987576,0.012422360248447202,0.008810572687224669,161,227,higher,True,more_problematic,0.8541607142857143
carboxyl,SA,EC,SA_vs_EC,0.2688,0.10784992764657707,-0.011095851930459748,0.4045226130653268,0.007537688442211057,0.018633540372670804,398,161,lower,True,less_problematic,0.40980983606557375
carboxyl,SA,CA,SA_vs_CA,0.7488,0.0392837383432716,0.0031324020985987223,1.71105527638191,0.007537688442211057,0.004405286343612334,398,227,higher,True,more_problematic,0.8398012048192772
carboxyl,EC,CA,EC_vs_CA,0.1443,0.14124310750109895,0.01422825402905847,4.229813664596273,0.018633540372670804,0.004405286343612334,161,227,higher,True,more_problematic,0.24429107142857143
ester,SA,EC,SA_vs_EC,0.8564,0.022336903887709824,0.002653016635974911,1.2135678391959803,0.015075376884422113,0.012422360248447202,398,161,higher,True,more_problematic,0.8935153846153846
ester,SA,CA,SA_vs_CA,0.552,0.05288439483641036,-0.006951054833639558,0.684422110552764,0.015075376884422113,0.02202643171806167,398,227,lower,True,less_problematic,0.7130000000000001
ester,EC,CA,EC_vs_CA,0.5763,0.07219383231694304,-0.00960407146961447,0.563975155279503,0.012422360248447202,0.02202643171806167,161,227,lower,True,less_problematic,0.724268918918919
amide,SA,EC,SA_vs_EC,0.0525,0.18822465902816904,-0.04187084490776864,0.43823283082077064,0.032663316582914576,0.07453416149068322,398,161,lower,True,less_problematic,0.11605625000000001
amide,SA,CA,SA_vs_CA,0.7295,0.03230635860691591,-0.006984260509596434,0.8238414293690677,0.032663316582914576,0.03964757709251101,398,227,lower,True,less_problematic,0.8398012048192772
amide,EC,CA,EC_vs_CA,0.2197,0.13045932136837163,0.03488658439817221,1.8799171842650102,0.07453416149068322,0.03964757709251101,161,227,higher,True,more_problematic,0.3522775862068966
amine,SA,EC,SA_vs_EC,0.1471,0.13444544353335636,-0.23622772246324653,0.8985795644891128,2.0929648241206036,2.32919254658385,398,161,lower,True,less_problematic,0.24429107142857143
amine,SA,CA,SA_vs_CA,0.0,0.47316166079317074,-0.9026298895357843,0.6986809045226132,2.0929648241206036,2.995594713656388,398,227,lower,True,less_problematic,0.0
amine,EC,CA,EC_vs_CA,0.0008,0.3800642204478974,-0.6664021670725377,0.777539276580197,2.32919254658385,2.995594713656388,161,227,lower,True,less_problematic,0.003542857142857143
halogen_subst,SA,EC,SA_vs_EC,0.0101,0.24897885518533178,-0.07913792565311026,0.2921552205471804,0.032663316582914576,0.11180124223602483,398,161,lower,True,less_problematic,0.032389655172413795
halogen_subst,SA,CA,SA_vs_CA,0.7471,0.02942681313050954,-0.0069842605095964405,0.8238414293690676,0.032663316582914576,0.039647577092511016,398,227,lower,True,less_problematic,0.8398012048192772
halogen_subst,EC,CA,EC_vs_CA,0.0593,0.18565935488012023,0.07215366514351382,2.819875776397515,0.11180124223602483,0.039647577092511016,161,227,higher,True,more_problematic,0.11605625000000001
