compound_id,smiles,violations,violation_details,SA_binary,EC_binary,CA_binary,SA_ensemble,EC_ensemble,CA_ensemble,SA_mic,EC_mic,CA_mic,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,Fsp3
CHEMBL2391224,FC1=CC=C(CN(CC2=NC3=CC=CC=C3N2)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C(F)=C1,4,"['MW: 485.4 (range: 183.21-338.85)', 'LogP: 7.09 (range: 1.39-4.01)', 'RotBonds: 5 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.9211795806884766,0.8452984809875488,0.865392553806305,8.0,16.0,16.0,485.4,7.09,31.9,1,2,5,4,0.17
CHEMBL2234677,CCN(CC)C1=CC=CC(OCC2=CC(=O)OC3=CC(C)=CC=C23)=C1,4,"['LogP: 4.53 (range: 1.39-4.01)', 'HBD: 0 (range: 0.23-1.59)', 'RotBonds: 6 (range: 0.61-4.74)', 'Rings: 3 (range: 1.88-2.92)']",1,1,1,0.860398280620575,0.7911850571632385,0.980095946788788,12.5,50.0,25.0,337.4,4.53,42.7,0,4,6,3,0.29
CHEMBL244056,CCC1=CC=C(C(=O)NC2=CC=C3OC(CC4=CC=CC=C4)=NC3=C2)C=C1,4,"['MW: 356.4 (range: 183.21-338.85)', 'LogP: 5.23 (range: 1.39-4.01)', 'RotBonds: 5 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.7895612001419068,0.9001787185668946,0.9415642976760864,50.0,50.0,25.0,356.4,5.23,55.1,1,3,5,4,0.13
CHEMBL1075903,CC1=CC=C(C2CC(C3=CC=C(C)C=C3)C3C(=NOCC4=CC=CC=C4)C2C(C2=CC=C(C)C=C2)NC3C2=CC=C(C)C=C2)C=C1,4,"['MW: 604.8 (range: 183.21-338.85)', 'LogP: 10.08 (range: 1.39-4.01)', 'RotBonds: 7 (range: 0.61-4.74)', 'Rings: 7 (range: 1.88-2.92)']",1,1,1,0.893829596042633,0.7790451645851135,0.9581894636154176,25.0,25.0,25.0,604.8,10.08,33.6,1,3,7,7,0.28
CHEMBL244057,O=C(NC1=CC=C2OC(CC3=CC=CC=C3)=NC2=C1)C1=CC=C(Br)C=C1,4,"['MW: 407.3 (range: 183.21-338.85)', 'LogP: 5.43 (range: 1.39-4.01)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.05 (range: 0.13-0.49)']",1,1,1,0.7646723985671997,0.8988025188446045,0.9668211817741394,50.0,50.0,25.0,407.3,5.43,55.1,1,3,4,4,0.05
CHEMBL2391225,FC(F)(F)C1=CC(N(CC2=NC3=CC=CC=C3N2)CC2=CC=C(Cl)C=C2Cl)=CC(C(F)(F)F)=C1,4,"['MW: 518.3 (range: 183.21-338.85)', 'LogP: 8.11 (range: 1.39-4.01)', 'RotBonds: 5 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.9130411386489868,0.8349542737007141,0.8801650762557983,64.0,64.0,64.0,518.3,8.11,31.9,1,2,5,4,0.17
CHEMBL2298095,CN1C=C(CCC(=O)NCC2=CN(C)C3=CC=C(Cl)C=C23)C2=CC(Cl)=CC=C21,4,"['MW: 414.3 (range: 183.21-338.85)', 'LogP: 5.23 (range: 1.39-4.01)', 'RotBonds: 5 (range: 0.61-4.74)', 'Rings: 4 (range: 1.88-2.92)']",1,1,1,0.9707575917243958,0.8732294201850891,0.7826987147331238,25.0,12.5,25.0,414.3,5.23,39.0,1,3,5,4,0.23
CHEMBL1075898,FC1=CC=CC(C2CC(C3=CC=CC(F)=C3)C3C(=NOCC4=CC=CC=C4)C2C(C2=CC=CC(F)=C2)NC3C2=CC=CC(F)=C2)=C1,4,"['MW: 620.7 (range: 183.21-338.85)', 'LogP: 9.41 (range: 1.39-4.01)', 'RotBonds: 7 (range: 0.61-4.74)', 'Rings: 7 (range: 1.88-2.92)']",1,1,1,0.8400155425071716,0.8021944999694824,0.9809080719947816,12.5,25.0,25.0,620.7,9.41,33.6,1,3,7,7,0.21
CHEMBL4453344,ClC1=CC=C(C2=NN=NN2C2=NC3=CC=CC=C3S2)C=C1,4,"['HBD: 0 (range: 0.23-1.59)', 'HBA: 6 (range: 1.96-4.87)', 'Rings: 4 (range: 1.88-2.92)', 'Fsp3: 0.0 (range: 0.13-0.49)']",1,1,1,0.9443798899650574,0.7766524195671082,0.8999297976493835,50.0,50.0,50.0,313.8,3.59,56.5,0,6,2,4,0.0
CHEMBL403455,CCSCCSC1=NN=C(C2=CC=CC=C2[N+](=O)[O-])S1,4,"['TPSA: 68.9 (range: 18.70-56.82)', 'HBD: 0 (range: 0.23-1.59)', 'HBA: 7 (range: 1.96-4.87)', 'RotBonds: 7 (range: 0.61-4.74)']",1,1,1,0.9138872385025024,0.7417890638113022,0.9637788295745848,32.0,32.0,32.0,327.5,3.96,68.9,0,7,7,2,0.33
